date,address,creator,initialBuy,marketCap,bondingCurveKey,vSolInBondingCurve,vTokensInBondingCurve,uri,signature
38:36.2,3HkAgxaBj5dgY6WmtMKd4JMCUDWV4C2js1gz3Re8pump,VtRwzigSxbUgcJdqHrJf23D6jpcz2916C12kU23jCNr,39235294.1,30.121567977150047,GSz87TSCbrRJZ9Vd9bfQW369qhKQR1wN58uArR5nEmQA,31.13861386099998,1033764705.895173,https://ipfs.io/ipfs/QmUwB21Hpm7LSCd8AaraC23B3Tie899xp6gQDUW8RKduH5,5mFYGN5xqrpdTxAVWPQzkVs2Fi4XnypxTYgR94yMUB4Q8wPXaVxXqreEfJoPuRPAnqgveVeGwAuHopeJu2B7MrPk
38:36.3,7Jb9NrGXrX3iVcHawdns3CzgQ8sXDJgGNLLzpg3epump,FjeaKDFAgexEPZbAFHwE4cL1MFvn1o6EL1qehcmVStCX,96666666.65,33.76950873502591,E5fExCoqTnyVmncwZgDyRrWcWq76jZC1myW4PMMrVub3,32.970297028999966,976333333.4,https://ipfs.io/ipfs/QmU6JQhriM74FcsHFC6jsaPXuLkFbPtjD4XYVf9zBuj72n,2w2jgNp81aKZXvkCofdntSWGcgpj1Zjc8KUMQaYdAPc7d5yeY5F83wiCmnVGT2uznX7c6t3cgutTJRL65NUFdtvx
38:39.1,8SbVZwVATVSmwN6SUWvd9d7n4eaiwii1k5MYkVgmpump,GFA2t9fZVY3jC7wDBPDB8FdsVNzLWgK44J4q7XpP476a,96666666.65,33.76950873502591,GDGsSk25ceZ8kpZw73P4rsL7pLw5Qm72hhWKYUFSjWh5,32.970297028999966,976333333.4,https://ipfs.io/ipfs/QmQY6rPhb6CpHCCTte115LtkDvK79Tf41kaC94btxa5Mpc,4q9wzKahoTBcficc9WRSvgDgs7qWogMhoYESbfdL2c7JfZCMPhUXyqDnxaXKbpXj7ddFAiJgn4gAyeMjvLVTckr9
38:41.5,9AXHZXJHRLhhvfhvPp3Q8PpRBcgkNsaiSH9284f4pump,A52gB2Y6LAawnjof1ToCcf9eRDXyksgatJaMLhZag1V4,66439628.46,31.77176344623955,6vtPN6fudPynQMjvWj87eaD2rDu73GYmmnC5uRR79TnP,31.980198018999996,1006560372,https://ipfs.io/ipfs/QmchsjxhRPB9RALiRRGcgrK4fMy8z7t14Q1ErLJDmgk3B4,28r8yxrdb4YhhCaPsF1TKznwrDKkKHFndoLrUkmSQhn1d82h2U9oa4zyD7XQsgjLfwF9kJAbHcLtfyZUmZ2QgjzK
38:44.1,3uiFQKNDgn5DjgWpJdPUP5Rq8kQwjmrjRm6YC5YJA4YA,9sCcAxe56AuDQfJgU7kB1LpnQEYXDcGpAtXnN49H6SB3,268250000,49.70487729108407,9JN3tx2jgpVS3ws16NQwLjgvaXz6GAwV7wPXcrZ1u6q3,39.99999999999995,804750000,http://149.51.224.102:81/json/8f441be1-b7f9-4d72-8f99-417fb7690ece,62FbAPRhRzdpEzAiGhvSTnwY4BdBRkhf42G6sHHHN6HHGp8tcHRDN68eBzR1Yo2TXnXNQ5M6X4dGcNexdFWnv1s3
38:45.0,6eRz57KqR73mBcqHidfecF4AEqBc5SBei6MLRpGXpump,317fPGAZVHRdXAUeU22xQkVzHBHjpSxMtNmp3hdZPveg,34281150.13,29.834925026021196,A5UvSvj5kpWfna1tyi4KW3z9MkLKRMWmFppSzmvub1Js,30.99009900899999,1038718849.870455,https://ipfs.io/ipfs/QmPqU2aE9zh7AEhEJPDLfjXesCB2hDiKJR43NSarWt42pn,3urHVE5t94rYYXdsrXnmPKVr7PKiRhHL9Cdwze94KCCDaBikjwwdFr3pTBYSbyoMN71GeEPruK5Vz8MpnhpP2TqL
38:45.5,2LWJKd17AAeEwFwHhmPfqDZJbQo1hnkjrc3cmQmPyump,B2P5Y2QukLXQf46WpmiQE4XRvvuofmfKSEAvFd28zsw2,134516035,36.54830692761722,4BU2hkFbPm2ZEJuT8MZmqZ69rJabbhz3XoncAoK48NDP,34.299999999999976,938483965,https://ipfs.io/ipfs/QmYfv3jCY6XLDV7mVc2UdXgqvB9mHLsGUfycvBmJX2paeZ,3Vy4QHX9U3uftx9bFkawRHjVcZt2ZqyKoaSDg3YZcggPPCo18KJXfWMjRT6Frv9GnKiRucgMUAFy1B4pBnFWGXH7
38:46.0,7LKQK8KqK3BPu6UQZsVbbaHVs1c3n7yWQupW2YxUpump,Hto1vcQ4spwhCdkswpnhET4noo2fkxXUuczjQEBeaQrP,1414634.132,28.032861325680223,2kf6n5t3FmU5EC9nHZhJtZQfx2BJkxZbsfUMtj86xdEg,30.03960395999998,1071585365.867787,https://ipfs.io/ipfs/QmesNqTiqFsRtTWynWvm5YGVBxtM2a67M3RseBDdGnh4FM,2vgfBLk4CJH1TtRzpBLAW9NeNe1pCAmRFUbvUbGeLj2eEGyck9jtdt8apE8YT3ueGGKMUHaQpY85KdFkXCDAHFk6
38:48.4,EWifZtGzUFANEaM1bik7NUH5DpyUCLrPEqXtGqUXpump,8iW9a4T29teySQ7UA1sz958TzWPmcJctDcfmQavde4Au,34281150.13,29.834925026021196,EmtwEqwKAZYf4VZsFpb8PJ9ZPfvSd6FQHVeQTHUL8q5G,30.99009900899999,1038718849.870455,https://ipfs.io/ipfs/QmStYEyByFpQnPswFuQLLsTpYzszZhztaXKzSnCdgPhFxW,56gW3U4qoRXSdfZXSrE7nbkLe1EbDWRhXVf7qUeNYY2w3GMx8nQxUxENDW4xdp31qghoJbMdexETU6CgmTNAV3Pv
38:49.2,E25SnPzMC7pWy4BKkBC4sVUMkDnBjh1twFaVeHBGpump,DuGU3gd6XymVFafuYpEae4L7GG6Pa6YiV9jgARMBzggk,12252854.8,28.60864136209163,7FVRViLcagb7RsLm4APV2FTEBxkprmhfHA9uyCVZ4Gq1,30.346534652999996,1060747145.203868,https://ipfs.io/ipfs/Qmbm6QKXDRhrQqHJGUwCxtwV8sa61xk6bUAo4nnjzwnZSa,5WdzFJEU4N8E1d9gMD5FbUnfEavYMiimfQzzGZCPLVJyEcTt93wLAptypwim9q6SaHQXypVwNGXKwKSowsMRMDD2
38:49.7,7GihJibvhbEhHUZNb7CiLF8XmumFX21ij3349Fj7c8q3,HNiLRFK7iyQ59KTtvx2HGrrKHawCEVekFjveRokftmMM,66928387,31.802640955518207,F3vhRQWjzX8cT28CR5KC2XCHG1m3ATht22iGodnyeFTM,31.995734283778066,1006071613,http://149.51.224.102:81/json/8f441be1-b7f9-4d72-8f99-417fb7690ece,4cS9NtTvvXHRbcwvwPKpR5PrwK6Wck7zDYyk9N46EHxD3JyvgAKEfQh5jqWir6d5mJP42YnbnrWhFfea5LqbVwKW
38:50.5,DzDRfsJ4a7eKmMpqQoEh3JVxWvTZZSGLM5Hj5cpjpump,Gw14GFPi2bWV5784Vm5gHBpqgkdMz2zwm5U1LCWz9p6o,97545454.55,33.830382106244144,G9kpKbt3eaPQ4ZRnpaN7tAQAnnCAFnEhwSTo1xuKtnDu,32.999999999999986,975454545.5,https://ipfs.io/ipfs/QmXoHWzsCfiURNvd4wGGQZadrTp71y7qJfz8QryN6jkRmR,3iU12gByYEXPEa9GwiSP4tP5RUmwvTWbvhYGpt7Z5WhvdK8Q636gaE8vGJHt4ed8BuxuxDA2GRjLy5hfNbKwr37M
38:51.9,HbxSkLHaLLRxQRTymEcP1Q9MmyR8UpTriGUDXGj4pump,GyiAMVLuUq2n4bqxhhjzr2ZasnHXZ3b1jJiU5YbB4HJL,66439628.46,31.77176344623955,3Xdbo1qBwPRj4oJcGhHycqxk26CtmMqu9AcnQ6Uu7eGk,31.980198018999996,1006560372,https://ipfs.io/ipfs/QmTW2gZ91QGj7hGMt7nFHrz8A5LJvJf5LWHzK6CiVhcmhj,353WLZLdXyyuHtSoAYxTdcdxVGgDUkmhyNUzeCU1NeE4vvJUcByh669PkdWGRWf4k31arAUM1ZHWGeNAZz8imgVb
